Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal ,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 443979,6/4/2026,000002,CLIENTE DIVERSO (REM),CLIENTE DIVERSO,CISAALMA,CARR FEDERAL FORTIN HUATUSCO 1617,EX HACIENDA LAS ANIMAS - FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FEDERAL FORTIN HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",380,"13565,04","10065,03",*PAOLA BUENO.,,CORDOBA,101
Pedido 444245,9/4/2026,A00156,DACSA DEL MERCADO,DACSA DEL MERCADO BODEGA FORTIN,CISAALMA,CARR FORTIN-HUATUSCO 830 A,HERMOSA PROVINCIA - FORTÍN,Fortín,Hermosa Provincia,94472,Fortín de las Flores,Veracruz,"CARR FORTIN-HUATUSCO 830 A,Fortín,Hermosa Provincia,Fortín de las Flores,Veracruz,94472",5350,82400,22800,*CEDI.,,CORDOBA,154
Pedido 443985,6/4/2026,A00177,DULCERA LA JOSEFINA,"""DULCERA LA JOSEFINA, S.A. DE C.V. (Dimas)""",CISAALMA,AV 21 FRACCIONAMIENTO JARDINES SAN DIMAS 1608,SAN DIMAS  - CORDOBA,Córdoba,San Dimas,94570,Córdoba,Veracruz,"AV 21 FRACCIONAMIENTO JARDINES SAN DIMAS 1608,Córdoba,San Dimas,Córdoba,Veracruz,94570","627,8",14117,1500,*PLAZA.,,CORDOBA,154
Pedido 443727,28/3/2026,A00552,SUPER SERVICIO ALATRISTE,SUPER SERVICIO ALATRISTE,CISAALMA,5 ORIENTE 329,CENTRO - TEHUACAN,Tehuacán,Centro de la Ciudad,75700,Tehuacan,Puebla,"5 ORIENTE 329,Tehuacán,Centro de la Ciudad,Tehuacan,Puebla,75700",150,4200,4200,,,PUEBLA,253
Pedido 444087,8/4/2026,A00564,TIENDAS LORES,TIENDAS LORES (TEMAZCAL),CISAALMA,AV 2 No 1269,CENTRO - TEMAZCAL,San Miguel Soyaltepec,Temascal,68430,,Oaxaca,"AV 2 No 1269,San Miguel Soyaltepec,Temascal,,Oaxaca,68430","2989,74","66839,2",500, ,,TIERRA BLANCA,101
Pedido 444084,8/4/2026,A00565,TIENDAS LORES,TIENDAS LORES (PLAYA VICENTE),CISAALMA,M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,CENTRO - PLAYA VICENTE,Playa Vicente,Lomas Verdes,95600,Playa Vicente,Veracruz,"M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,Playa Vicente,Lomas Verdes,Playa Vicente,Veracruz,95600","1292,08","28658,8",928, ,,TUXTEPEC,101
Pedido 444085,8/4/2026,A00566,TIENDAS LORES,TIENDAS LORES (VILLA AZUETA),CISAALMA,AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,CENTRO - VILLA AZUETA,José Azueta,Valle Dorado,95580,,Veracruz,"AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,José Azueta,Valle Dorado,,Veracruz,95580","1664,9",36350,686, ,,CUENCA,101
Pedido 444079,8/4/2026,A00567,TIENDAS LORES,TIENDAS LORES (BOULEVARD),CISAALMA,BOULEVARD BENITO JUAREZ Y CARR OJITLAN,MARIA EUGENIA - TUXTEPEC,San Juan Bautista Tuxtepec,Loma Alta,68350,San Juan Bautista Tuxtepec,Oaxaca,"BOULEVARD BENITO JUAREZ Y CARR OJITLAN,San Juan Bautista Tuxtepec,Loma Alta,San Juan Bautista Tuxtepec,Oaxaca,68350","2931,88","64196,4",500, ,,TUXTEPEC,101
Pedido 444075,8/4/2026,A00568,TIENDAS LORES,TIENDAS LORES (CENTRO),CISAALMA,AVENIDA 5 DE MAYO Y MATAMOROS,CENTRO - TUXTEPEC,San Juan Bautista Tuxtepec,Tuxtepec Centro,68300,San Juan Bautista Tuxtepec,Oaxaca,"AVENIDA 5 DE MAYO Y MATAMOROS,San Juan Bautista Tuxtepec,Tuxtepec Centro,San Juan Bautista Tuxtepec,Oaxaca,68300","7796,6",170272,686, ,,TUXTEPEC,101
Pedido 444076,8/4/2026,A00569,TIENDAS LORES,TIENDAS LORES (COSAMALOAPAN),CISAALMA,AV.RUIZ CORTINES No 300,CENTRO - COSAMALOAPAN,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,95400,Cosamaloapan,Veracruz,"AV.RUIZ CORTINES No 300,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400","5913,86","127922,2",1000, ,,LOS TUXTLAS,101
Pedido 444077,8/4/2026,A00572,TIENDAS LORES,TIENDAS LORES (ISLA),CISAALMA,RAUL SANDOVAL No 30,CENTRO - ISLA,Isla,Isla Centro,95640,Isla,Veracruz,"RAUL SANDOVAL No 30,Isla,Isla Centro,Isla,Veracruz,95640","2480,2",54679,242, ,,CUENCA,101
Pedido 444078,8/4/2026,A00573,TIENDAS LORES,TIENDAS LORES (LOMA BONITA),CISAALMA,AV QUINTANA ROO No 7,CENTRO - LOMA BONITA,Loma Bonita,Barrio La Escobeta,68400,Loma Bonita,Oaxaca,"AV QUINTANA ROO No 7,Loma Bonita,Barrio La Escobeta,Loma Bonita,Oaxaca,68400","3158,38","69430,4",1186, ,,CUENCA,101
Pedido 444086,8/4/2026,A00574,TIENDAS LORES,TIENDAS LORES (RODRIGUEZ CLARA),CISAALMA,ALVARO OBREGON S/N,CENTRO - RODRIGUEZ CLARA,Juan Rodríguez Clara,La Unión,95670,,Veracruz,"ALVARO OBREGON S/N,Juan Rodríguez Clara,La Unión,,Veracruz,95670","1695,9",37274,242, ,,,101
Pedido 444082,8/4/2026,A00575,TIENDAS LORES,TIENDAS LORES (TEZONAPA),CISAALMA,5 DE MAYO No 30,CENTRO - TEZONAPA,Tezonapa,Barranca Seca,95096,Tezonapa,Veracruz,"5 DE MAYO No 30,Tezonapa,Barranca Seca,Tezonapa,Veracruz,95096","4490,6",101033,500, ,,,101
Pedido 444074,8/4/2026,A00576,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA),CISAALMA,5 DE MAYO No 806,CENTRO - TIERRA BLANCA,Tierra Blanca,Tierra Blanca Centro,95100,Tierra Blanca,Veracruz,"5 DE MAYO No 806,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100","4479,1",99096,1000, ,,,101
Pedido 444081,8/4/2026,A00577,TIENDAS LORES,TIENDAS LORES (VERACRUZ),CISAALMA,AV DIAZ MIRON 277,CENTRO - VERACRUZ,Veracruz,Veracruz Centro,91700,Veracruz,Veracruz,"AV DIAZ MIRON 277,Veracruz,Veracruz Centro,Veracruz,Veracruz,91700","600,4",14230,500, ,,VERACRUZ PUERTO,101
Pedido 416255,19/8/2024,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,,,,,,,Veracruz,",,,,Veracruz,",50,4650,4650,*ROTACION DE MERCA CADENA SORIANA-*MIRIAM G.-CANCN,*vobo ROLVERA.,CORDOBA,101
Pedido 417348,13/9/2024,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),PUBLICO,,,,,,,Veracruz,",,,,Veracruz,","1,5",360,360,*MUESTRE P AGENTES DE VENTAS MAYOREO.,*vobo MCANCINO.,CORDOBA,101
Pedido 443429,23/3/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",20,"829,98","746,982",*PROMOCION 20+2K MOSTRADOR.,*vobo MCANCINO.,CORDOBA,101
Pedido 443449,24/3/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",30,720,720,PD: 443448 SUC.0984 BODEGA AURRERA MACULTEPEC,,CORDOBA,101
Pedido 443741,30/3/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",120,11160,11160,avenitas xalapa y veracruz,,CORDOBA,101
Pedido 443899,1/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",4,372,372,*DESGUSTACIONESABR VERACRUZ.,*vobo JOLVERA.,CORDOBA,101
Pedido 443933,2/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",10,270,270,*CTES DE ZONA TUXTLA.,*vobo MCANCINO.,CORDOBA,101
Pedido 443946,2/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",20,"700,002","700,002",*SEMILLAS SAN LUIS/ LAVOR DE VENTA-100GR.,*vobo MCANCINO.,CORDOBA,101
Pedido 443947,2/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",20,"700,002","700,002",*DIPEPSA/ LAVOR DE VENTA-100GR.,,CORDOBA,101
Pedido 444221,9/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",60,1440,1440,PD:444219 SUC.1101 BODEGA AURRERA CIUDAD INDUSTRIA,,CORDOBA,101
Pedido 444061,8/4/2026,A00730,MUESTRA CLIENTE (REM),MUESTRA CLIENTE (REM),CISAALMA,CARR FED FORTIN-HUATUSCO 1617,RICARDO BALLINAS-FORTIN,Fortín,Ricardo Ballinas,94472,Fortín de las Flores,Veracruz,"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472",111,2365,2365,*DONATIVO- FUNDC ROMA.,,CORDOBA,101
Pedido 444089,8/4/2026,A01123,TIENDAS LORES,TIENDAS LORES (LERDO DE TEJADA),CISAALMA,CALLE REVOLUCION NORTE S/N ENTRE NICOLAS BRAVO Y J DE LA LUZ ENRIQUEZ,CENTRO - LERDO DE TEJEDA,Lerdo de Tejada,Lerdo de Tejada Centro,95280,Lerdo de Tejada,Veracruz,"CALLE REVOLUCION NORTE S/N ENTRE NICOLAS BRAVO Y J DE LA LUZ ENRIQUEZ,Lerdo de Tejada,Lerdo de Tejada Centro,Lerdo de Tejada,Veracruz,95280","2429,78","54793,4",1242, ,,LOS TUXTLAS,101
Pedido 443909,1/4/2026,A01505,ABARROTES FASTI,ABARROTES FASTI S.A DE C.V,CISAALMA,CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,CENTRAL DE ABASTOS  - XALAPA,Xalapa,La Giralda,91194,Xalapa-Enríquez,Veracruz,"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,Xalapa,La Giralda,Xalapa-Enríquez,Veracruz,91194",10000,210000,210000,ENVIAR PLAYO -- ENTREGAR 21/04/26,fecha de entrega 21 de abril 2026,XALAPA,222
Pedido 444316,10/4/2026,A01505,ABARROTES FASTI,ABARROTES FASTI S.A DE C.V,CISAALMA,CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,CENTRAL DE ABASTOS  - XALAPA,Xalapa,La Giralda,91194,Xalapa-Enríquez,Veracruz,"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,Xalapa,La Giralda,Xalapa-Enríquez,Veracruz,91194","1469,8",57422,57422,el repartidor deve traer emplayo promocion 2 cajas,,XALAPA,222
Pedido 444317,10/4/2026,A01505,ABARROTES FASTI,ABARROTES FASTI S.A DE C.V,CISAALMA,CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,CENTRAL DE ABASTOS  - XALAPA,Xalapa,La Giralda,91194,Xalapa-Enríquez,Veracruz,"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,Xalapa,La Giralda,Xalapa-Enríquez,Veracruz,91194",3970,102450,102450,el repartidor deve traer emplayo,,XALAPA,222
Pedido 444092,8/4/2026,A01637,TIENDAS LORES,TIENDAS LORES (VALLE NACIONAL),CISAALMA,CALLE JOSE MARIA MORELOS No 37,CENTRO - VALLE NACIONAL,San Juan Bautista Valle Nacional,Playa Del Rio,68480,San Juan Bautista Valle Nacional,Oaxaca,"CALLE JOSE MARIA MORELOS No 37,San Juan Bautista Valle Nacional,Playa Del Rio,San Juan Bautista Valle Nacional,Oaxaca,68480","3401,5",73082,686, ,,TUXTEPEC,101
Pedido 444093,8/4/2026,A01767,TIENDAS LORES,TIENDAS LORES (VICENTE CAMALOTE),CISAALMA,CALLE 11 S/N ENTRE IGNACIO DE LA LLAVE Y BENITO JUAREZ,CENTRO - ACATLAN DE PEREZ FIGUEROA,Acatlán de Pérez Figueroa,Benito Juárez,68422,Vicente Camalote,Oaxaca,"CALLE 11 S/N ENTRE IGNACIO DE LA LLAVE Y BENITO JUAREZ,Acatlán de Pérez Figueroa,Benito Juárez,Vicente Camalote,Oaxaca,68422","1765,28","40219,8",1000, ,,TEZONAPA,101
Pedido 444314,10/4/2026,A01819,GENERAL DE MUEBLES PAPANTLA,GENERAL DE MUEBLES PAPANTLA,CISAALMA,CALLE FANCISCO SAUSA MINA No 101,BARRIO DEL NARANJO - PAPANTLA,Papantla,Papantla Centro,93400,Papantla de Olarte,Veracruz,"CALLE FANCISCO SAUSA MINA No 101,Papantla,Papantla Centro,Papantla de Olarte,Veracruz,93400",1336,"25994,28","25994,28",,5.00 AM,VERACRUZ NORTE,172
Pedido 444193,8/4/2026,A01819,GENERAL DE MUEBLES PAPANTLA,GENERAL DE MUEBLES PAPANTLA,CISAALMA,CALLE FANCISCO SAUSA MINA No 101,BARRIO DEL NARANJO - PAPANTLA,Papantla,Papantla Centro,93400,Papantla de Olarte,Veracruz,"CALLE FANCISCO SAUSA MINA No 101,Papantla,Papantla Centro,Papantla de Olarte,Veracruz,93400","3757,6",75325,75325,,5.00 AM,VERACRUZ NORTE,172
Pedido 444095,8/4/2026,A01835,TIENDAS LORES,TIENDAS LORES (ANGEL R. CABADA),CISAALMA,AV FRANCISCO J MORENO No 30,CENTRO - ANGEL R. CABADA,Angel R. Cabada,Angel R. Cabada,95840,Ángel R. Cabada,Veracruz,"AV FRANCISCO J MORENO No 30,Angel R. Cabada,Angel R. Cabada,Ángel R. Cabada,Veracruz,95840","3863,46","87795,8",1428, ,,LOS TUXTLAS,101
Pedido 444094,8/4/2026,A01836,TIENDAS LORES,TIENDAS LORES (ALVARADO),CISAALMA,IGNACIO DE LA LLAVE No 35,CENTRO - ALVARADO,Alvarado,Rincón de la Palma,95250,,Veracruz,"IGNACIO DE LA LLAVE No 35,Alvarado,Rincón de la Palma,,Veracruz,95250","3716,68","81236,4",1000, ,,,101
Pedido 444097,8/4/2026,A01895,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA 2),CISAALMA,CALLE PROLONGACION AQUILES SERDAN No 300 ENTRE OBRERO MUNDIAL Y MARTIRES DE CHIGACO,OBRERA - TIERRA BLANCA,Tierra Blanca,Obrera,95190,Tierra Blanca,Veracruz,"CALLE PROLONGACION AQUILES SERDAN No 300 ENTRE OBRERO MUNDIAL Y MARTIRES DE CHIGACO,Tierra Blanca,Obrera,Tierra Blanca,Veracruz,95190","1562,96","36132,8",372, ,,,101
Pedido 444098,8/4/2026,A01909,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA 3),CISAALMA,HEROICO COLEGIO MILITAR ESQUINA CALLE INDEPENDENCIA No 701,ECHEVERRIA - TIERRA BLANCA,Tierra Blanca,Del Carmen,95110,Tierra Blanca,Veracruz,"HEROICO COLEGIO MILITAR ESQUINA CALLE INDEPENDENCIA No 701,Tierra Blanca,Del Carmen,Tierra Blanca,Veracruz,95110","1811,86","41762,2",1000, ,,,101
Pedido 444100,8/4/2026,A01955,TIENDAS LORES,TIENDAS LORES (COSAMALOAPAN 2),CISAALMA,AV FRANCISCO I MADERO,CENTRO - COSAMALOAPAN,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,95400,Cosamaloapan,Veracruz,"AV FRANCISCO I MADERO,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400","3035,78","66574,4",1000, ,,LOS TUXTLAS,101
Pedido 444103,8/4/2026,A01990,TIENDAS LORES,TIENDAS LORES (TLALIXCOYAN),CISAALMA,AV BENITO JUAREZ,CENTRO - TLALIXCOYAN,Tlalixcoyan,El Triunfo (La Providencia),95225,,Veracruz,"AV BENITO JUAREZ,Tlalixcoyan,El Triunfo (La Providencia),,Veracruz,95225","1277,28","27873,8",500, ,,,101
Pedido 444105,8/4/2026,A02010,TIENDAS LORES,TIENDAS LORES (SANTIAGO TUXTLA),CISAALMA,AV MIGUEL HIDALGO #3,CENTRO - SANTIAGO TUXTLA,Santiago Tuxtla,Santiago Tuxtla Centro,95830,Santiago Tuxtla,Veracruz,"AV MIGUEL HIDALGO #3,Santiago Tuxtla,Santiago Tuxtla Centro,Santiago Tuxtla,Veracruz,95830","3212,56","73824,2",1000, ,,LOS TUXTLAS,101
Pedido 444106,8/4/2026,A02014,TIENDAS LORES,TIENDAS LORES ( SAN JOSE CHILTEPEC ),CISAALMA,CALLE JOSE MARIA PINO SUAREZ S/N,CENTRO - SAN JOSE CHILTEPEC,San José Chiltepec,San Jose Chiltepec,68456,,Oaxaca,"CALLE JOSE MARIA PINO SUAREZ S/N,San José Chiltepec,San Jose Chiltepec,,Oaxaca,68456","951,2",20728,686, ,,TUXTEPEC,101
Pedido 444260,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444261,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444262,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444263,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444264,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444265,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444266,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444267,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444268,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
