Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal ,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 444041,7/4/2026,B00011,ABARROTES MONTERREY,ABARROTES MONTERREY CEDIS,CISAALMA,HELIO S N 2A ETAPA CD INDUSTRIAL,,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"HELIO S N 2A ETAPA CD INDUSTRIAL,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010",2600,64350,64350,,Favor entregar 15 de Abril Cedis,TABASCO,605
Pedido 442775,9/3/2026,B00012,ABARROTES RIKOZA,ABARROTES RIKOZA,CISAALMA,CIRCUITO INTERIOR ORIENTE 13 CG,CENTRAL DE ABASTOS  - PUEBLA,Puebla,Central de Abastos,72019,Puebla (Heroica Puebla),Puebla,"CIRCUITO INTERIOR ORIENTE 13 CG,Puebla,Central de Abastos,Puebla (Heroica Puebla),Puebla,72019",292,"6893,8","6893,8",OC 2455032,,PUEBLA,253
Pedido 443729,28/3/2026,B00041,REGULO FLORES VASQUEZ,FLORES VASQUEZ REGULO (MATRIZ),CISAALMA,CARRTERA VILLA DEL MAR KM 15,AGUA DULCE - ARRIAGA,Arriaga,Arriaga Centro,30450,Arriaga,Chiapas,"CARRTERA VILLA DEL MAR KM 15,Arriaga,Arriaga Centro,Arriaga,Chiapas,30450",66,"2947,56","2947,56",3 PAQ DE PROM,,,131
Pedido 444184,8/4/2026,B00049,JUGOS Y BASICOS DE LA COSTA,JUGOS Y BASICOS DE LA COSTA S.A. DE C.V.,CISAALMA,25A CALLE PONIENTE ENTRE 2A Y AV NORTE S/N,5 DE FEBRERO - TAPACHULA,Tapachula,5 de Febrero,30710,Tapachula de Córdova y Ordóñez,Chiapas,"25A CALLE PONIENTE ENTRE 2A Y AV NORTE S/N,Tapachula,5 de Febrero,Tapachula de Córdova y Ordóñez,Chiapas,30710",30000,626480,626480,*-2% DESC COMERCIAL. Entregar Miercoles15abr., CITA MIERCOLES 15/04/2026,CHIAPAS COSTA,154
Pedido 444050,7/4/2026,B00056,MINI ABASTOS,MINI ABASTOS SA DE CV,CISAALMA,MORELOS,SAMARITANA - STA MARIA ATZOMPA,Santa María Atzompa,Residencial Denali,71222,,Oaxaca,"MORELOS,Santa María Atzompa,Residencial Denali,,Oaxaca,71222",7200,146500,46400,OFC-273076,CEDIS OAXACA,,138
Pedido 443997,6/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA MINA (1174),CISAALMA,BLVD INSTITUTOS TECNOLOGICOS,268242922,Minatitlán,El Triángulo,96734,Minatitlán,Veracruz,"BLVD INSTITUTOS TECNOLOGICOS,Minatitlán,El Triángulo,Minatitlán,Veracruz,96734","1351,077021",34980,34980,OC: 2811745117,RECIBO DE 7:00 A 11:00 AM,EDO MEXICO,226
Pedido 443996,6/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA VIA CAPU (3773),CISAALMA,BLVD NTE H 5 DE MAYO # 2318,268242922,Puebla,San Felipe Hueyotlipan,72030,Puebla (Heroica Puebla),Puebla,"BLVD NTE H 5 DE MAYO # 2318,Puebla,San Felipe Hueyotlipan,Puebla (Heroica Puebla),Puebla,72030","294,2451696","8314,8","8314,8",PEDIDO PUEBLA YO LO ENTREGO,RECIBO DE 7:00 AM A 11:00 AM,EDO MEXICO,101
Pedido 443318,19/3/2026,B00059,NUEVA WAL MART DE MEXICO,MB TEAPA (3049) (BAJA),CISAALMA,BLVD FRANCISCO TRUJILLO GURRIA # 16,268242922,Teapa,Teapa Centro,86800,Teapa,Tabasco,"BLVD FRANCISCO TRUJILLO GURRIA # 16,Teapa,Teapa Centro,Teapa,Tabasco,86800","568,211076",18312,18312,SUC.3049 MI BODEGA AURRERA TEAPA,TRANSBORDO,EDO MEXICO,101
Pedido 443863,31/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA TERAN (4125),CISAALMA,BLVD BELISARIO DOMINGUEZ # 4451,268242922,Tuxtla Gutiérrez,San Cristóbal,29038,Tuxtla Gutiérrez,Chiapas,"BLVD BELISARIO DOMINGUEZ # 4451,Tuxtla Gutiérrez,San Cristóbal,Tuxtla Gutiérrez,Chiapas,29038","946,665645",23667,23667,OC B A TERAN 4125,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444279,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA TUXTLA CENTRO (3917),CISAALMA,AV CENTRAL PONIENTE # 677,268242922,Tuxtla Gutiérrez,Santo Domingo,29000,Tuxtla Gutiérrez,Chiapas,"AV CENTRAL PONIENTE # 677,Tuxtla Gutiérrez,Santo Domingo,Tuxtla Gutiérrez,Chiapas,29000","1119,528987","29191,8","29191,8",OC BA TUXTLA CENTRO,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444275,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA SUMIDERO (3002),CISAALMA,CALZADA AL SUMIDERO # 2330 MZ 75,268242922,Tuxtla Gutiérrez,Misol-ha,29010,Tuxtla Gutiérrez,Chiapas,"CALZADA AL SUMIDERO # 2330 MZ 75,Tuxtla Gutiérrez,Misol-ha,Tuxtla Gutiérrez,Chiapas,29010","2018,43264",54612,54612,OC BA SUMIDERO 3002,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444219,9/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA CIUDAD INDUSTRIAL (1101),CISAALMA,PROL AV UNIVERSIDAD No 634,268242922,Centro,Casa Blanca 2a Sección,86060,Villahermosa,Tabasco,"PROL AV UNIVERSIDAD No 634,Centro,Casa Blanca 2a Sección,Villahermosa,Tabasco,86060","1684,641692",42390,42390,SUC.1101 BODEGA AURRERA CIUDAD INDUSTRIAL,TRANSBORDO,EDO MEXICO,101
Pedido 443953,5/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA 14 ORIENTE (1420),CISAALMA,PROLONGACION 14 ORIENTE # 5219,268242922,Puebla,Agrícola Resurgimiento,72370,Puebla (Heroica Puebla),Puebla,"PROLONGACION 14 ORIENTE # 5219,Puebla,Agrícola Resurgimiento,Puebla (Heroica Puebla),Puebla,72370","264,0039648","6880,8","6880,8",PEDIDO PUEBLA YO LO ENTREGO,RECIBO DE 7:00 AM A 11:00 AM,EDO MEXICO,101
Pedido 443928,1/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA PATRICIO TRUEBA (4075),CISAALMA,AV PATRICIO TRUEBA # 203,268242922,Campeche,Villa Jazmín,24090,San Francisco de Campeche,Campeche,"AV PATRICIO TRUEBA # 203,Campeche,Villa Jazmín,San Francisco de Campeche,Campeche,24090","648,000384",17004,17004,BA PATRICIO TRUEBA 4075 CAMPECHE,RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444281,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,AURRERA CEDIS GUADALAJARA (7493),CISAALMA,CARRETERA AL SANTO No.420,268242922,Tlajomulco de Zúñiga,Los Ciruelos,45679,Tlajomulco de Zúñiga,Jalisco,"CARRETERA AL SANTO No.420,Tlajomulco de Zúñiga,Los Ciruelos,Tlajomulco de Zúñiga,Jalisco,45679","716,8310532","25954,8","25954,8",OC 8938915950 GUADALAJARA (7493),,EDO MEXICO,600
Pedido 443321,19/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA REFORMA TAB (MACUSPANA) (2142),CISAALMA,CALLE REFORMA # S/N,268242922,Macuspana,Nicolás Bravo,86700,,Tabasco,"CALLE REFORMA # S/N,Macuspana,Nicolás Bravo,,Tabasco,86700","1730,134602",45360,45360,SUC.2142 BODEGA AURRERA MACUSPANA,TRANSBORDO,EDO MEXICO,101
Pedido 444300,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,SAMS CEDIS SAMS VILLAHERMOSA (6550),CISAALMA,AV BUTANO No 16 CD INDUSTRIAL,035672640,Centro,Palmitas,86130,Villahermosa,Tabasco,"AV BUTANO No 16 CD INDUSTRIAL,Centro,Palmitas,Villahermosa,Tabasco,86130",3360,85260,85260,OC 8234473659 SAMS VILLAHERMOSA (6550),,EDO MEXICO,101
Pedido 444301,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,SAMS CEDIS SAMS VILLAHERMOSA (6550),CISAALMA,AV BUTANO No 16 CD INDUSTRIAL,035672640,Centro,Palmitas,86130,Villahermosa,Tabasco,"AV BUTANO No 16 CD INDUSTRIAL,Centro,Palmitas,Villahermosa,Tabasco,86130","1535,999999",36096,36096,OC 8234473659 SAMS VILLAHERMOSA,,EDO MEXICO,101
Pedido 444282,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,MB HUIXTLA (4079),CISAALMA,NEGRETE ORIENTE S/N,268242922,Huixtla,Las Hortencias II,30640,Huixtla,Chiapas,"NEGRETE ORIENTE S/N,Huixtla,Las Hortencias II,Huixtla,Chiapas,30640","2441,446452",60954,60954,OC MI BODEGA AURRERA HUIXTLA,TRANSBORDO  -- RECIBO DE 7:00 AM A 11:00 AM,EDO MEXICO,101
Pedido 444019,7/4/2026,B00059,NUEVA WAL MART DE MEXICO,MB BALANCAN (3658),CISAALMA,AV GREGORIA MENDEZ S/N,CENTRO-BALANCAN,Balancán,Balancán Centro,86930,,Tabasco,"AV GREGORIA MENDEZ S/N,Balancán,Balancán Centro,,Tabasco,86930","377,7372666",11820,11820,SUC.3658 MI BODEGA AURRERA CENTRO BALANCAN,TRANSBORDO,EDO MEXICO,101
Pedido 442834,10/3/2026,B00059,NUEVA WAL MART DE MEXICO,SC CAMPECHE (4139),CISAALMA,AV MARIA LAVALLE,SAN FRANCISCO DE CAMPECHE CENTRO - CAMPECHE,Campeche,San Francisco de Campeche Centro,24000,San Francisco de Campeche,Campeche,"AV MARIA LAVALLE,Campeche,San Francisco de Campeche Centro,San Francisco de Campeche,Campeche,24000","486,00972",12300,12300,OC SC CAMPECHE 4139 DIONY RAMAYO,RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444292,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,SC LIBRAMIENTO NORTE (3127),CISAALMA,BLVD SALOMON GONZALEZ BLANCO,CARLOS SALINAS DE GORTARI - TUXTLA GUTIÉRREZ,Tuxtla Gutiérrez,Carlos Salinas de Gortari,29045,Tuxtla Gutiérrez,Chiapas,"BLVD SALOMON GONZALEZ BLANCO,Tuxtla Gutiérrez,Carlos Salinas de Gortari,Tuxtla Gutiérrez,Chiapas,29045","2431,389627",64200,64200,OC 2831273536 SC LIBRAMIENTO NORTE,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444287,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,AURRERA CEDIS MONTERREY (7490),CISAALMA,CARR MONTERREY-LAREDO KM 23400,268242922,El Carmen,El Mirador,66550,,Nuevo León,"CARR MONTERREY-LAREDO KM 23400,El Carmen,El Mirador,,Nuevo León,66550","1371,385526","38449,2","38449,2",OC 4484741248 MONTERREY (7490),,EDO MEXICO,600
Pedido 444286,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,AURRERA CEDIS SINALOA (7487),CISAALMA,CALZADA AEROPUERTO #9996,268242922,Culiacán,Villa Andalucía,80130,Culiacán Rosales,Sinaloa,"CALZADA AEROPUERTO #9996,Culiacán,Villa Andalucía,Culiacán Rosales,Sinaloa,80130","1678,230454","48921,6","48921,6",OC 4683049423 SINALOA (7487),,EDO MEXICO,600
Pedido 443381,20/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA COSOLEACAQUE (2597),CISAALMA,CARR TRANS MINA ACAYUCAN KM 26+900,268242922,Cosoleacaque,Arboledas,96346,,Veracruz,"CARR TRANS MINA ACAYUCAN KM 26+900,Cosoleacaque,Arboledas,,Veracruz,96346","1127,780467",30405,30405,OC:2825973043,RECIBO DE 7:00 A 11:00 AM,EDO MEXICO,226
Pedido 444290,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,SC CEDIS VILLA HERMOSA (7468),CISAALMA,CARR. VILLAHERMOSA-CARDENAS KM.145,268242920,Centro,Hacienda Casa Blanca,86280,,Tabasco,"CARR. VILLAHERMOSA-CARDENAS KM.145,Centro,Hacienda Casa Blanca,,Tabasco,86280","23621,68148",695070,695070,OC 8784472626 WALMART VILLAHERMOSA (7468),,EDO MEXICO,601
Pedido 443498,24/3/2026,B00059,NUEVA WAL MART DE MEXICO,SC SALINA CRUZ II (3929),CISAALMA,CARR TRANSISMICA 10,NUEVO EJIDAL - SALINA CRUZ,Salina Cruz,Nuevo Ejidal,70613,Salina Cruz,Oaxaca,"CARR TRANSISMICA 10,Salina Cruz,Nuevo Ejidal,Salina Cruz,Oaxaca,70613","2360,441208",57240,57240,SC SALINA CRUZ,RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,138
Pedido 442969,10/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA KALA (2108),CISAALMA,CARR ANTIGUA CAMPECHE MERIDA 1,TERRANOVA - CAMPECHE,Campeche,Terranova,24087,San Francisco de Campeche,Campeche,"CARR ANTIGUA CAMPECHE MERIDA 1,Campeche,Terranova,San Francisco de Campeche,Campeche,24087","607,51215",15375,15375,OC BA KALA DIONY RAMAYO CAMPECHE,RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 443713,27/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA 5TA PONIENTE (1387),CISAALMA,CALLE 5A PONIENTE NORTE NUM 2150,CHIAPAS SOLIDARIO - TUXTLA GUTIÉRREZ,Tuxtla Gutiérrez,Chiapas Solidario,29018,Tuxtla Gutiérrez,Chiapas,"CALLE 5A PONIENTE NORTE NUM 2150,Tuxtla Gutiérrez,Chiapas Solidario,Tuxtla Gutiérrez,Chiapas,29018","573,3075204","15107,4","15107,4",OC BA 5TA PONIENTE 13897,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444289,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,SC MERIDA (4188),CISAALMA,CARR MERIDA-CANCUN KM 14.5,CECILIO CHI - KANASÍN,Kanasín,Cecilio Chi,97370,,Yucatán,"CARR MERIDA-CANCUN KM 14.5,Kanasín,Cecilio Chi,,Yucatán,97370","6604,732528","190129,2","190129,2",OC 9883497417 WALMART MERIDA (4188),,EDO MEXICO,101
Pedido 444209,9/4/2026,B00059,NUEVA WAL MART DE MEXICO,SAMS MERIDA (7506),CISAALMA,CARR MERIDA-CANCUN KM 14.5,CECILIO CHI - KANASÍN,Kanasín,Cecilio Chi,97370,,Yucatán,"CARR MERIDA-CANCUN KM 14.5,Kanasín,Cecilio Chi,,Yucatán,97370",3868,102808,102808,OC 7184443499 SAMS MERIDA (7506),,EDO MEXICO,101
Pedido 443982,6/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA QUETZALCOATL (1017),CISAALMA,CALLE 65 NUM 102,AQUAPARQUE - MÉRIDA,Mérida,Aquaparque,97176,Mérida,Yucatán,"CALLE 65 NUM 102,Mérida,Aquaparque,Mérida,Yucatán,97176","743,4146952","19231,2","19231,2",BA QUETZALCOATL 1017 MERIDA,TRANSBORDO,EDO MEXICO,101
Pedido 443165,17/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA GLORIETA CAUCEL (3295),CISAALMA,CALLE 70 NUM 661,CIUDAD CAUCEL - MÉRIDA,Mérida,Ciudad Caucel,97314,,Yucatán,"CALLE 70 NUM 661,Mérida,Ciudad Caucel,,Yucatán,97314","428,5284552","11017,8","11017,8",BA GLORIETA 3295 MERIDA,TRANSBORDO,EDO MEXICO,101
Pedido 444285,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,SC JUAREZ CHIHUAHUA (4640),CISAALMA,CARR. PANAMERICANA KM 27.5,SAN CRISTÓBAL - CHIHUAHUA,Chihuahua,San Cristóbal,31150,Chihuahua,Chihuahua,"CARR. PANAMERICANA KM 27.5,Chihuahua,San Cristóbal,Chihuahua,Chihuahua,31150","621,7312248","18020,4","18020,4",OC 5539062395 CHIHUAHUA (4640),,EDO MEXICO,101
Pedido 444283,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA JALISCO (5907),CISAALMA,CARR EL SALTO 420,LOS CIRUELOS - TLAJOMULCO DE ZÚÑIGA,Tlajomulco de Zúñiga,Los Ciruelos,45679,Tlajomulco de Zúñiga,Jalisco,"CARR EL SALTO 420,Tlajomulco de Zúñiga,Los Ciruelos,Tlajomulco de Zúñiga,Jalisco,45679","985,938336","26601,6","26601,6",OC 8833436630 JALISCO (5907),,EDO MEXICO,101
Pedido 444288,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,CEDIS MEXICALI (4924),CISAALMA,CALZADA GRAL. LAZARO CARDENAS 3800,VIÑAS DEL SOL - MEXICALI,Mexicali,Viñas del Sol,21190,Mexicali,Baja California,"CALZADA GRAL. LAZARO CARDENAS 3800,Mexicali,Viñas del Sol,Mexicali,Baja California,21190","576,6408414","16102,8","16102,8",OC 3584033924 MEXICALI (4924),,EDO MEXICO,101
Pedido 443725,28/3/2026,B00059,NUEVA WAL MART DE MEXICO,SC BUENAVISTA (3846),CISAALMA,AV INSURGENTES NTE No 131,NA,Cuauhtémoc,Guerrero,06300,Ciudad de México,Ciudad de México,"AV INSURGENTES NTE No 131,Cuauhtémoc,Guerrero,Ciudad de México,Ciudad de México,06300","777,014964",22989,22989,PEDIDO RENE,,EDO MEXICO,101
Pedido 443448,24/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA MACULTEPEC (0984),CISAALMA,CARRETERA FEDERAL VILLAHERMOSA - FRONTERA KM 18,VILLA MACULTEPEC-VILLAHERMOSA,Centro,Macultepec,86250,,Tabasco,"CARRETERA FEDERAL VILLAHERMOSA - FRONTERA KM 18,Centro,Macultepec,,Tabasco,86250","586,5055572","14341,2","14341,2",SUC.0984 BODEGA AURRERA MACULTEPEC,RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444016,7/4/2026,B00059,NUEVA WAL MART DE MEXICO,MB EMILIANO ZAPATA (3571),CISAALMA,CALLE LEONA VICTORIA 240,LAS LOMAS-EMILIANO ZAPATA,Emiliano Zapata,El Recreo,86997,Emiliano Zapata,Tabasco,"CALLE LEONA VICTORIA 240,Emiliano Zapata,El Recreo,Emiliano Zapata,Tabasco,86997","382,537305","12080,4","12080,4",3571 mi bodega aurrera monte cristo emiliano zapat,TRANSBORDO,EDO MEXICO,101
Pedido 444284,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,CIENEGA (5922),CISAALMA,CAMINO A LOS BORREGOS 785,,Ciénega de Flores,Portal de las Flores,65580,,Nuevo León,"CAMINO A LOS BORREGOS 785,Ciénega de Flores,Portal de las Flores,,Nuevo León,65580","408,1271832","12058,8","12058,8",OC 7283486520 CIENEGA (5922),,EDO MEXICO,101
Pedido 444293,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,BD OCOSINGO (1858),CISAALMA,AVENIDA OCTAVA SUR ORIENTE,SAUZAL-OCOSINGO,Ocosingo,El Sauzal,29950,Ocosingo,Chiapas,"AVENIDA OCTAVA SUR ORIENTE,Ocosingo,El Sauzal,Ocosingo,Chiapas,29950","2280,637836",73314,73314,OC BA OCOSINGO 1858,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 443732,28/3/2026,B00062,PROVEEDORA DE ABARROTES RIVERA,PROVEEDORA DE ABARROTES RIVERA MAYOREO,CISAALMA,104 PONIENTE NO. 1702-A,Parque Industrial 5 de Mayo - Puebla,Puebla,Parque Industrial 5 de Mayo,72019,Puebla (Heroica Puebla),Puebla,"104 PONIENTE NO. 1702-A,Puebla,Parque Industrial 5 de Mayo,Puebla (Heroica Puebla),Puebla,72019",13150,283475,95875,OC 4265844,,PUEBLA,253
Pedido 444226,9/4/2026,B00109,SOCIEDAD COOPERATIVA DE CONSUMO JUAN GRAY MARTINEZ SECCION NO. 11 DEL S.T.P.R.M.,"""SOCIEDAD COOPERATIVA DE CONSUMO JUAN GRAY MARTINEZ, SECCION 11 STPRM SCL""",CISAALMA,ALEJANDRO I MENDOZA 1,PRIMERO DE MAYO - NANCHITAL,Nanchital de Lázaro Cárdenas del Río,Obrera,96360,,Veracruz,"ALEJANDRO I MENDOZA 1,Nanchital de Lázaro Cárdenas del Río,Obrera,,Veracruz,96360",862,"20232,6","20232,6",,RECIBO DE 8:00 AM A 3:00 PM,VERACRUZ SUR,226
Pedido 444227,9/4/2026,B00109,SOCIEDAD COOPERATIVA DE CONSUMO JUAN GRAY MARTINEZ SECCION NO. 11 DEL S.T.P.R.M.,"""SOCIEDAD COOPERATIVA DE CONSUMO JUAN GRAY MARTINEZ, SECCION 11 STPRM SCL""",CISAALMA,ALEJANDRO I MENDOZA 1,PRIMERO DE MAYO - NANCHITAL,Nanchital de Lázaro Cárdenas del Río,Obrera,96360,,Veracruz,"ALEJANDRO I MENDOZA 1,Nanchital de Lázaro Cárdenas del Río,Obrera,,Veracruz,96360","236,5",9447,9447,,RECIBO DE 8:00 AM A 3:00 PM,VERACRUZ SUR,226
Pedido 444228,9/4/2026,B00109,SOCIEDAD COOPERATIVA DE CONSUMO JUAN GRAY MARTINEZ SECCION NO. 11 DEL S.T.P.R.M.,"""SOCIEDAD COOPERATIVA DE CONSUMO JUAN GRAY MARTINEZ, SECCION 11 STPRM SCL""",CISAALMA,ALEJANDRO I MENDOZA 1,PRIMERO DE MAYO - NANCHITAL,Nanchital de Lázaro Cárdenas del Río,Obrera,96360,,Veracruz,"ALEJANDRO I MENDOZA 1,Nanchital de Lázaro Cárdenas del Río,Obrera,,Veracruz,96360","4,8",242,242,,RECIBO DE 8:00 AM A 3:00 PM,VERACRUZ SUR,226
Pedido 443496,24/3/2026,B00128,COMERCIAL CONCHA,COMERCIAL CONCHA SA DE CV,CISAALMA,ZARAGOZA,CENTRO - OCOTLAN DE MORELOS,Ocotlán de Morelos,Morelos,71510,Ocotlán de Morelos,Oaxaca,"ZARAGOZA,Ocotlán de Morelos,Morelos,Ocotlán de Morelos,Oaxaca,71510",2410,56690,56690,,ENTREGAR EN CEDIS ZARAGOZA,OAXACA CENTRO,138
Pedido 443495,24/3/2026,B00128,COMERCIAL CONCHA,COMERCIAL CONCHA SA DE CV,CISAALMA,ZARAGOZA,CENTRO - OCOTLAN DE MORELOS,Ocotlán de Morelos,Morelos,71510,Ocotlán de Morelos,Oaxaca,"ZARAGOZA,Ocotlán de Morelos,Morelos,Ocotlán de Morelos,Oaxaca,71510",1040,25880,25880,,ENTREGAR EN CEDIS ZARAGOZA,OAXACA CENTRO,138
Pedido 444296,10/4/2026,B00159,TIENDAS SORIANA,CEDIS VILLAHERMOSA SECOS (5681),CISAALMA,CARRETERA VILLAHERMOSA-CARDENAS KM.,HACIENDA CASA BLANCA - CENTRO,Centro,Hacienda Casa Blanca,86280,,Tabasco,"CARRETERA VILLAHERMOSA-CARDENAS KM.,Centro,Hacienda Casa Blanca,,Tabasco,86280","1605,6",49611,49611,OC 139522234 CEDIS VILLAHERMOSA,CITA 1000587615 JUEVES 16/04/26 10:00AM,NUEVO LEON,101
Pedido 444297,10/4/2026,B00159,TIENDAS SORIANA,CEDIS VILLAHERMOSA SECOS (5681),CISAALMA,CARRETERA VILLAHERMOSA-CARDENAS KM.,HACIENDA CASA BLANCA - CENTRO,Centro,Hacienda Casa Blanca,86280,,Tabasco,"CARRETERA VILLAHERMOSA-CARDENAS KM.,Centro,Hacienda Casa Blanca,,Tabasco,86280","1792,29",53943,53943,OC 139733932 CEDIS VILLAHERMOSA,CITA 1000587615 JUEVES 16/04/26 10:00AM,NUEVO LEON,101
Pedido 444310,10/4/2026,B00206,ALEJANDRO REYES BENAVIDEZ,REYES BENAVIDEZ ALEJANDRO,ALVI_CORD,MIGUEL HIDALGO 3,BARRIO SAN JUAN - ACATLAN DE OSORIO,Acatlán,Amatitlán de Azueta,74940,,Puebla,"MIGUEL HIDALGO 3,Acatlán,Amatitlán de Azueta,,Puebla,74940",18000,316800,316800,,,PUEBLA,253