Direccion,Latitud,Longitud,Exactitud,Score,Riesgo,Manual
"CARR FEDERAL FORTIN HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Exacta,92,Bajo,SI
"CARR FORTIN-HUATUSCO 830 A,Fortín,Hermosa Provincia,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90746,-96.99354,Alta,82,Bajo,SI
"AV 21 FRACCIONAMIENTO JARDINES SAN DIMAS 1608,Córdoba,San Dimas,Córdoba,Veracruz,94570, Veracruz, 94570, MX",18.87554,-96.93029,No confiable,NaN,Bajo,NO
"5 ORIENTE 329,Tehuacán,Centro de la Ciudad,Tehuacan,Puebla,75700, Puebla, 75700, MX",18.4588,-97.39012,Exacta,224,Bajo,NO
"AV 2 No 1269,San Miguel Soyaltepec,Temascal,,Oaxaca,68430, Oaxaca, 68430, MX",18.24238,-96.40012,Exacta,208,Bajo,NO
"M LERDO 384 ENTRE 2 ABRIL Y JOSEFA ORTIZ,Playa Vicente,Lomas Verdes,Playa Vicente,Veracruz,95600, Veracruz, 95600, MX",17.83062,-95.8132,No confiable,NaN,Bajo,NO
"AV REVOLUCION 74 ENTRE ALLENDE Y ZAPATA,José Azueta,Valle Dorado,,Veracruz,95580, Veracruz, 95580, MX",18.07732,-95.70663,Exacta,224,Bajo,NO
"BOULEVARD BENITO JUAREZ Y CARR OJITLAN,San Juan Bautista Tuxtepec,Loma Alta,San Juan Bautista Tuxtepec,Oaxaca,68350, Oaxaca, 68350, MX",18.08488,-96.13629,Alta,2090,Bajo,NO
"AVENIDA 5 DE MAYO Y MATAMOROS,San Juan Bautista Tuxtepec,Tuxtepec Centro,San Juan Bautista Tuxtepec,Oaxaca,68300, Oaxaca, 68300, MX",18.08368,-96.12567,No confiable,NaN,Bajo,NO
"AV.RUIZ CORTINES No 300,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400, Veracruz, 95400, MX",18.36497,-95.79528,Exacta,226,Bajo,NO
"RAUL SANDOVAL No 30,Isla,Isla Centro,Isla,Veracruz,95640, Veracruz, 95640, MX",18.02349,-95.5295,Exacta,226,Bajo,NO
"AV QUINTANA ROO No 7,Loma Bonita,Barrio La Escobeta,Loma Bonita,Oaxaca,68400, Oaxaca, 68400, MX",18.107,-95.88077,Exacta,17665,Bajo,NO
"ALVARO OBREGON S/N,Juan Rodríguez Clara,La Unión,,Veracruz,95670, Veracruz, 95670, MX",17.89314,-95.3431,Alta,234,Bajo,NO
"5 DE MAYO No 30,Tezonapa,Barranca Seca,Tezonapa,Veracruz,95096, Veracruz, 95096, MX",18.60404,-96.68519,No confiable,NaN,Bajo,NO
"5 DE MAYO No 806,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100, Veracruz, 95100, MX",18.44821,-96.35867,Exacta,224,Bajo,NO
"AV DIAZ MIRON 277,Veracruz,Veracruz Centro,Veracruz,Veracruz,91700, Veracruz, 91700, MX",19.19157,-96.13534,Exacta,225,Bajo,NO
",,,,Veracruz,, Veracruz, MX",19.19535,-96.13683,Alta,100,Bajo,NO
",,,,Veracruz,, Veracruz, MX",19.19535,-96.13683,Alta,100,Bajo,NO
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Exacta,92,Bajo,SI
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Exacta,92,Bajo,SI
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Exacta,92,Bajo,SI
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Exacta,92,Bajo,SI
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Baja,58,Alto,NO
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Baja,58,Alto,NO
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Baja,58,Alto,NO
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Exacta,92,Bajo,SI
"CARR FED FORTIN-HUATUSCO 1617,Fortín,Ricardo Ballinas,Fortín de las Flores,Veracruz,94472, Veracruz, 94472, MX",18.90531,-96.99885,Exacta,92,Bajo,SI
"CALLE REVOLUCION NORTE S/N ENTRE NICOLAS BRAVO Y J DE LA LUZ ENRIQUEZ,Lerdo de Tejada,Lerdo de Tejada Centro,Lerdo de Tejada,Veracruz,95280, Veracruz, 95280, MX",18.63174,-95.5204,No confiable,NaN,Bajo,NO
"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,Xalapa,La Giralda,Xalapa-Enríquez,Veracruz,91194, Veracruz, 91194, MX",19.50838,-96.86888,No confiable,NaN,Bajo,NO
"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,Xalapa,La Giralda,Xalapa-Enríquez,Veracruz,91194, Veracruz, 91194, MX",19.50838,-96.86888,No confiable,NaN,Bajo,NO
"CALLE CD ISLA D UNIDAD 2 CENTRAL DE ABASTOS 2,Xalapa,La Giralda,Xalapa-Enríquez,Veracruz,91194, Veracruz, 91194, MX",19.50838,-96.86888,No confiable,NaN,Bajo,NO
"CALLE JOSE MARIA MORELOS No 37,San Juan Bautista Valle Nacional,Playa Del Rio,San Juan Bautista Valle Nacional,Oaxaca,68480, Oaxaca, 68480, MX",17.77459,-96.30749,No confiable,NaN,Bajo,NO
"CALLE 11 S/N ENTRE IGNACIO DE LA LLAVE Y BENITO JUAREZ,Acatlán de Pérez Figueroa,Benito Juárez,Vicente Camalote,Oaxaca,68422, Oaxaca, 68422, MX",18.51107,-96.53636,No confiable,NaN,Bajo,NO
"CALLE FANCISCO SAUSA MINA No 101,Papantla,Papantla Centro,Papantla de Olarte,Veracruz,93400, Veracruz, 93400, MX",20.44557,-97.32013,Exacta,194,Bajo,NO
"CALLE FANCISCO SAUSA MINA No 101,Papantla,Papantla Centro,Papantla de Olarte,Veracruz,93400, Veracruz, 93400, MX",20.44557,-97.32013,Exacta,194,Bajo,NO
"AV FRANCISCO J MORENO No 30,Angel R. Cabada,Angel R. Cabada,Ángel R. Cabada,Veracruz,95840, Veracruz, 95840, MX",18.59667,-95.44696,No confiable,NaN,Bajo,NO
"IGNACIO DE LA LLAVE No 35,Alvarado,Rincón de la Palma,,Veracruz,95250, Veracruz, 95250, MX",18.82272,-95.95639,Baja,50,Alto,SI
"CALLE PROLONGACION AQUILES SERDAN No 300 ENTRE OBRERO MUNDIAL Y MARTIRES DE CHIGACO,Tierra Blanca,Obrera,Tierra Blanca,Veracruz,95190, Veracruz, 95190, MX",18.45259,-96.35057,Exacta,17666,Bajo,NO
"HEROICO COLEGIO MILITAR ESQUINA CALLE INDEPENDENCIA No 701,Tierra Blanca,Del Carmen,Tierra Blanca,Veracruz,95110, Veracruz, 95110, MX",18.45704,-96.36534,Baja,64,Alto,NO
"AV FRANCISCO I MADERO,Cosamaloapan de Carpio,Cosamaloapan de Carpio Centro,Cosamaloapan,Veracruz,95400, Veracruz, 95400, MX",18.36706,-95.7912,Alta,257,Bajo,NO
"AV BENITO JUAREZ,Tlalixcoyan,El Triunfo (La Providencia),,Veracruz,95225, Veracruz, 95225, MX",18.80181,-96.06228,Alta,1899,Bajo,NO
"AV MIGUEL HIDALGO #3,Santiago Tuxtla,Santiago Tuxtla Centro,Santiago Tuxtla,Veracruz,95830, Veracruz, 95830, MX",18.46553,-95.29532,Alta,221,Bajo,NO
"CALLE JOSE MARIA PINO SUAREZ S/N,San José Chiltepec,San Jose Chiltepec,,Oaxaca,68456, Oaxaca, 68456, MX",17.94651,-96.17239,Alta,1905,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840, Chiapas, 30840, MX",14.67927,-92.15193,Exacta,180,Bajo,NO
"PASEO JOSE NARCISO ROVIROSA S/N, ESQ. NIÑOS HEROES,Macuspana,Nicolás Bravo,,Tabasco,86700, Tabasco, 86700, MX",17.76324,-92.59832,Alta,1905,Bajo,NO
"PRIMAVERA No 106,Centro,Villahermosa Centro,Villahermosa,Tabasco,86000, Tabasco, 86000, MX",17.99504,-92.91496,No confiable,NaN,Bajo,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,Exacta,1798,Bajo,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,Exacta,1798,Bajo,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,Exacta,1798,Bajo,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,Exacta,1798,Bajo,NO
"AV ALUMINIO 207 H A UN COSTADO DE OFICINAS DE SANCHEZ,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010, Tabasco, 86010, MX",18.02941,-92.90456,Exacta,1798,Bajo,NO
"AV ALUMINIO NIO PROPORCIONARON DATOS,,,,,, MX",19.4326,-99.1332,Baja,50,Alto,SI
"AV ALUMINIO NIO PROPORCIONARON DATOS,,,,,, MX",19.4326,-99.1332,Baja,50,Alto,SI
"CALLE DEL SOLDADO ENTRE ESQUINA LERDO Y FRANCISCO I MADERO,Tierra Blanca,Tierra Blanca Centro,Tierra Blanca,Veracruz,95100, Veracruz, 95100, MX",18.4453,-96.36035,No confiable,NaN,Bajo,NO
"CALLE FRANCISCO I MADERO S/N ENTRE 2 DE ABRIL Y ESQ FRANCISCO I MADERO,Catemaco,Los Carriles,Catemaco,Veracruz,95870, Veracruz, 95870, MX",18.41824,-95.11231,No confiable,NaN,Bajo,NO
"CEDROS KM 4 NO. 31-34-35 Y 36,Tapachula,Elektra,Tapachula de Córdova y Ordóñez,Chiapas,30798, Chiapas, 30798, MX",14.87593,-92.30545,Exacta,161,Bajo,NO
"AV COLON ORIENTE No 1922,Orizaba,Orizaba Centro,Orizaba,Veracruz,94300, Veracruz, 94300, MX",18.85252,-97.09198,No confiable,NaN,Bajo,NO
"CALLE LA RIVERA No 100,Xicotepec,La Rivera,Xicotepec,Puebla,73080, Puebla, 73080, MX",20.26611,-97.96223,Exacta,17665,Bajo,NO
"CALLE VICENTE SUAREZ No 107,Xicotepec,Duraznotla,Xicotepec,Puebla,73080, Puebla, 73080, MX",20.278174163428112,-97.9590690135956,Exacta,92,Bajo,SI
"EMILIANO ZAPATA 9,Xicotepec,Villa Avila Camacho (La Ceiba),,Puebla,73090, Puebla, 73090, MX",20.38683,-97.88077,Exacta,228,Bajo,NO
"CALLE PALMA SOLA 13,Venustiano Carranza,Villa Lázaro Cárdenas (La Uno),,Puebla,73049, Puebla, 73049, MX",20.46283,-97.70344,Exacta,1816,Bajo,NO
"6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,Tapachula,Tapachula Centro,Tapachula de Córdova y Ordóñez,Chiapas,30700, Chiapas, 30700, MX",14.90265,-92.26222,Exacta,17658,Bajo,NO
"6TA CALLE OTE ESQUINA CON 5TA PRIV SUR No 30,Tapachula,Tapachula Centro,Tapachula de Córdova y Ordóñez,Chiapas,30700, Chiapas, 30700, MX",14.90265,-92.26222,Exacta,17658,Bajo,NO
"AV CENTRAL SUR No 26 B,San Fernando,Paraíso,,Chiapas,29120, Chiapas, 29120, MX",16.87036,-93.2068,Exacta,15600,Bajo,NO
"5 DE MAYO No 58 ENTRE MIGUEL HIDALGO Y HOMBRES ILUSTRES,Vega de Alatorre,Vega de Alatorre,,Veracruz,93960, Veracruz, 93960, MX",19.96856,-96.61109,No confiable,NaN,Bajo,NO
"FRACCION DEL LOTE 28 MZ 825 CARR CUATITLAN-ZUMPANGO,Teoloyucan,Hacienda Beatriz,,Estado de México,54770, Estado de México, 54770, MX",19.44382,-99.24521,Exacta,1891,Bajo,NO
"FRACCION DEL LOTE 28 MZ 825 CARR CUATITLAN-ZUMPANGO,Teoloyucan,Hacienda Beatriz,,Estado de México,54770, Estado de México, 54770, MX",19.44382,-99.24521,Exacta,1891,Bajo,NO
"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,Centro,Hacienda Casa Blanca,,Tabasco,86280, Tabasco, 86280, MX",17.99852,-92.91655,No confiable,NaN,Bajo,NO
"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,Centro,Hacienda Casa Blanca,,Tabasco,86280, Tabasco, 86280, MX",17.99852,-92.91655,No confiable,NaN,Bajo,NO
"COLINAS DE VILLAHERMOSA CTO DEL GOLFO KM 12.5 CARR MACUSPANA,Centro,Hacienda Casa Blanca,,Tabasco,86280, Tabasco, 86280, MX",17.99852,-92.91655,No confiable,NaN,Bajo,NO
"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220, Veracruz, 96220, MX",17.97573,-94.7164,No confiable,NaN,Bajo,NO
"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220, Veracruz, 96220, MX",17.97573,-94.7164,No confiable,NaN,Bajo,NO
"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220, Veracruz, 96220, MX",17.97573,-94.7164,No confiable,NaN,Bajo,NO
"20 DE NOVIEMBRE ESQUINA FRANCISCO VILLA 209,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220, Veracruz, 96220, MX",17.97573,-94.7164,No confiable,NaN,Bajo,NO
"CALLE SALVADOR DIAZ MIRON S/N,Tres Valles,Los Naranjos,,Veracruz,95360, Veracruz, 95360, MX",18.35439,-96.1665,Alta,1914,Bajo,NO
"CALLE HERMANOS SERDAN No 3,Venustiano Carranza,Venustiano Carranza,,Puebla,73040, Puebla, 73040, MX",20.50541,-97.66883,Exacta,17679,Bajo,NO
"CALLE HERMANOS SERDAN No 3,Venustiano Carranza,Venustiano Carranza,,Puebla,73040, Puebla, 73040, MX",20.50541,-97.66883,Exacta,17679,Bajo,NO
"CALZADA VALLEJO No 980,Azcapotzalco,Industrial Vallejo,Ciudad de México,Ciudad de México,02300, Ciudad de México, 02300, MX",19.49524,-99.15456,Exacta,19226,Bajo,NO
"CARRETERA RIO SECO-SANTA ROSA,Cárdenas,Melchor Ocampo 2a Secc,,Tabasco,86470, Tabasco, 86470, MX",18.08488,-93.35756,Alta,211,Bajo,NO
"CALLE ARGENTINA S/N,Carlos A. Carrillo,Carlos A Carrillo Centro,Carlos A. Carrillo,Veracruz,95330, Veracruz, 95330, MX",18.37373,-95.74841,Alta,81,Bajo,NO
"CALLE ANTONIO SOSA No 35,Alto Lucero de Gutiérrez Barrios,Rancho Nuevo,,Veracruz,91477, Veracruz, 91477, MX",19.77138,-96.43203,No confiable,NaN,Bajo,NO
"CALLE REVOLUCION No 108,San Rafael,San Rafael,San Rafael,Veracruz,93620, Veracruz, 93620, MX",20.1882,-96.86668,Exacta,92,Bajo,SI
"AV INDEPENDENCIA No 236,Emiliano Zapata,El Tepeyac,,Veracruz,91634, Veracruz, 91634, MX",19.35323,-96.56418,Exacta,15603,Bajo,NO
"CARRETERA 195 TAPILULA PICHUCALCO,Tapilula,Tapilula,,Chiapas,29730, Chiapas, 29730, MX",17.25324,-93.01663,No confiable,NaN,Bajo,NO
"CARRETERA FEDERAL A OJITLAN 1,San Juan Bautista Tuxtepec,Jardines del Arroyo,San Juan Bautista Tuxtepec,Oaxaca,68340, Oaxaca, 68340, MX",18.08623,-96.14966,No confiable,NaN,Bajo,NO
"CALLE MAXIMINO AVILA CAMACHO 101,Tepeaca,San Miguel,Tepeaca,Puebla,75200, Puebla, 75200, MX",18.93698,-97.9023,Exacta,15597,Bajo,NO
"BOULEVARD HACIENDA REAL LOTE 3 MZA 67,San Juan Bautista Tuxtepec,5 de Febrero,San Juan Bautista Tuxtepec,Oaxaca,68375, Oaxaca, 68375, MX",18.11073,-96.14162,Exacta,15597,Bajo,NO
